,x_eye,y_eye,pupil_radius,iris_radius,file_name
0,49,25,3.0,16.0,f01_1002_0.1963_0.3927
1,56,24,4.0,17.0,f01_1003_0.1963_0.1963
2,63,24,6.0,17.0,f01_1004_0.1963_-0.0000
3,70,24,5.0,16.0,f01_1005_0.1963_-0.1963
4,43,31,3.0,14.0,f01_1010_-0.0000_0.5890
5,49,31,4.0,15.0,f01_1011_-0.0000_0.3927
6,56,31,4.0,17.0,f01_1012_-0.0000_0.1963
7,63,31,4.0,16.0,f01_1013_-0.0000_-0.0000
8,70,31,5.0,16.0,f01_1014_-0.0000_-0.1963
9,43,37,2.0,14.0,f01_1019_-0.1963_0.5890
10,49,38,3.0,15.0,f01_1020_-0.1963_0.3927
11,56,38,4.0,17.0,f01_1021_-0.1963_0.1963
12,63,38,5.0,17.0,f01_1022_-0.1963_-0.0000
13,70,38,5.0,16.0,f01_1023_-0.1963_-0.1963
14,43,43,3.0,14.0,f01_1028_-0.3927_0.5890
15,49,44,3.0,15.0,f01_1029_-0.3927_0.3927
16,56,45,4.0,16.0,f01_1030_-0.3927_0.1963
17,63,45,5.0,17.0,f01_1031_-0.3927_-0.0000
18,70,45,5.0,16.0,f01_1032_-0.3927_-0.1963
19,43,48,3.0,14.0,f01_1037_-0.5890_0.5890
20,49,50,3.0,15.0,f01_1038_-0.5890_0.3927
21,56,51,4.0,17.0,f01_1039_-0.5890_0.1963
22,70,51,5.0,17.0,f01_1041_-0.5890_-0.1963
23,46,25,3.0,13.0,f01_1082_0.1963_0.5890
24,52,25,4.0,15.0,f01_1083_0.1963_0.3927
25,59,24,4.0,16.0,f01_1084_0.1963_0.1963
26,66,24,4.0,17.0,f01_1085_0.1963_-0.0000
27,41,31,2.0,11.0,f01_1090_-0.0000_0.7854
28,46,31,3.0,13.0,f01_1091_-0.0000_0.5890
29,52,31,3.0,15.0,f01_1092_-0.0000_0.3927
30,59,31,4.0,17.0,f01_1093_-0.0000_0.1963
31,66,32,5.0,16.0,f01_1094_-0.0000_-0.0000
32,41,36,2.0,11.0,f01_1099_-0.1963_0.7854
33,46,37,2.0,13.0,f01_1100_-0.1963_0.5890
34,52,38,3.0,15.0,f01_1101_-0.1963_0.3927
35,59,38,4.0,16.0,f01_1102_-0.1963_0.1963
36,66,39,5.0,16.0,f01_1103_-0.1963_-0.0000
37,73,38,5.0,17.0,f01_1104_-0.1963_-0.1963
38,46,43,3.0,13.0,f01_1109_-0.3927_0.5890
39,52,44,3.0,15.0,f01_1110_-0.3927_0.3927
40,59,45,4.0,16.0,f01_1111_-0.3927_0.1963
41,66,45,6.0,16.0,f01_1112_-0.3927_-0.0000
42,73,45,4.0,16.0,f01_1113_-0.3927_-0.1963
43,41,45,1.0,11.0,f01_1117_-0.5890_0.7854
44,46,48,3.0,14.0,f01_1118_-0.5890_0.5890
45,67,23,6.0,14.0,f01_1160_0.3927_-0.5890
46,72,25,4.0,11.0,f01_1161_0.3927_-0.7854
47,47,28,5.0,17.0,f01_1166_0.1963_-0.0000
48,54,28,5.0,17.0,f01_1167_0.1963_-0.1963
49,60,28,4.0,15.0,f01_1168_0.1963_-0.3927
50,67,29,6.0,13.0,f01_1169_0.1963_-0.5890
51,72,30,5.0,10.0,f01_1170_0.1963_-0.7854
52,40,35,5.0,17.0,f01_1174_-0.0000_0.1963
53,47,35,5.0,17.0,f01_1175_-0.0000_-0.0000
54,54,35,5.0,16.0,f01_1176_-0.0000_-0.1963
55,60,35,5.0,14.0,f01_1177_-0.0000_-0.3927
56,67,35,6.0,13.0,f01_1178_-0.0000_-0.5890
57,72,34,5.0,11.0,f01_1179_-0.0000_-0.7854
58,40,42,4.0,18.0,f01_1183_-0.1963_0.1963
59,47,42,5.0,17.0,f01_1184_-0.1963_-0.0000
60,54,42,5.0,16.0,f01_1185_-0.1963_-0.1963
61,61,41,5.0,15.0,f01_1186_-0.1963_-0.3927
62,67,41,6.0,13.0,f01_1187_-0.1963_-0.5890
63,72,40,5.0,11.0,f01_1188_-0.1963_-0.7854
64,54,48,5.0,16.0,f01_1194_-0.3927_-0.1963
65,60,47,5.0,15.0,f01_1195_-0.3927_-0.3927
66,67,46,5.0,14.0,f01_1196_-0.3927_-0.5890
67,72,44,5.0,11.0,f01_1197_-0.3927_-0.7854
68,50,29,5.0,17.0,f01_122_-0.0000_-0.0000
69,57,29,5.0,17.0,f01_123_-0.0000_-0.1963
70,70,23,5.0,14.0,f01_1241_0.3927_-0.5890
71,43,28,5.0,17.0,f01_1246_0.1963_0.1963
72,50,27,5.0,16.0,f01_1247_0.1963_-0.0000
73,57,28,5.0,16.0,f01_1248_0.1963_-0.1963
74,64,28,6.0,15.0,f01_1249_0.1963_-0.3927
75,64,28,6.0,15.0,f01_124_-0.0000_-0.3927
76,70,29,5.0,14.0,f01_1250_0.1963_-0.5890
